사용자아이디,영화아이디,평점,타임스탬프,성별,연령,직업,지역,영화제목,장르
1,48,5,978824351,F,1,10,48067,Pocahontas (1995),Animation|Children's|Musical|Romance
6,48,5,978237570,F,50,9,55117,Pocahontas (1995),Animation|Children's|Musical|Romance
10,48,4,978230090,F,35,1,95370,Pocahontas (1995),Animation|Children's|Musical|Romance
18,48,4,978155072,F,18,3,95825,Pocahontas (1995),Animation|Children's|Musical|Romance
26,48,3,978141288,M,25,7,23112,Pocahontas (1995),Animation|Children's|Musical|Romance
38,48,3,978045112,F,18,4,2215,Pocahontas (1995),Animation|Children's|Musical|Romance
45,48,3,977988826,F,45,16,94110,Pocahontas (1995),Animation|Children's|Musical|Romance
48,48,3,978059636,M,25,4,92107,Pocahontas (1995),Animation|Children's|Musical|Romance
53,48,1,977979943,M,25,0,96931,Pocahontas (1995),Animation|Children's|Musical|Romance
75,48,4,977851520,F,1,10,1748,Pocahontas (1995),Animation|Children's|Musical|Romance
80,48,4,977788757,M,56,1,49327,Pocahontas (1995),Animation|Children's|Musical|Romance
92,48,4,986187379,F,18,4,44243,Pocahontas (1995),Animation|Children's|Musical|Romance
93,48,1,977631048,M,25,17,95825,Pocahontas (1995),Animation|Children's|Musical|Romance
114,48,3,977506715,F,25,2,83712,Pocahontas (1995),Animation|Children's|Musical|Romance
136,48,4,977530584,M,18,2,21202,Pocahontas (1995),Animation|Children's|Musical|Romance
146,48,2,977349604,F,35,20,10954,Pocahontas (1995),Animation|Children's|Musical|Romance
162,48,2,977218404,F,18,4,93117,Pocahontas (1995),Animation|Children's|Musical|Romance
163,48,3,977322563,M,18,4,85013,Pocahontas (1995),Animation|Children's|Musical|Romance
166,48,4,977297888,M,18,4,92802,Pocahontas (1995),Animation|Children's|Musical|Romance
178,48,4,977109045,M,56,17,53705,Pocahontas (1995),Animation|Children's|Musical|Romance
192,48,2,977088859,M,18,1,10977,Pocahontas (1995),Animation|Children's|Musical|Romance
264,48,3,976730574,M,35,0,20755,Pocahontas (1995),Animation|Children's|Musical|Romance
268,48,4,976648996,F,18,12,29708,Pocahontas (1995),Animation|Children's|Musical|Romance
284,48,1,976576018,M,25,12,91910,Pocahontas (1995),Animation|Children's|Musical|Romance
291,48,5,976564897,M,35,12,55110,Pocahontas (1995),Animation|Children's|Musical|Romance
305,48,3,976498364,F,18,0,55414,Pocahontas (1995),Animation|Children's|Musical|Romance
310,48,4,976483189,F,18,4,31207,Pocahontas (1995),Animation|Children's|Musical|Romance
355,48,3,976676302,M,18,3,55107,Pocahontas (1995),Animation|Children's|Musical|Romance
424,48,4,1016720072,M,25,17,55112,Pocahontas (1995),Animation|Children's|Musical|Romance
438,48,2,980904468,M,18,11,53705,Pocahontas (1995),Animation|Children's|Musical|Romance
470,48,4,976224041,F,1,10,55068,Pocahontas (1995),Animation|Children's|Musical|Romance
490,48,2,976216069,M,1,10,55345,Pocahontas (1995),Animation|Children's|Musical|Romance
509,48,1,976296546,M,25,2,55125,Pocahontas (1995),Animation|Children's|Musical|Romance
520,48,3,976227277,F,35,20,55104,Pocahontas (1995),Animation|Children's|Musical|Romance
528,48,3,976410178,F,18,17,83843,Pocahontas (1995),Animation|Children's|Musical|Romance
531,48,3,979155639,F,18,14,22206,Pocahontas (1995),Animation|Children's|Musical|Romance
536,48,4,976138728,M,25,20,1267,Pocahontas (1995),Animation|Children's|Musical|Romance
541,48,3,976124859,F,18,4,5849574,Pocahontas (1995),Animation|Children's|Musical|Romance
550,48,4,976161736,M,45,8,21559,Pocahontas (1995),Animation|Children's|Musical|Romance
556,48,2,976055206,F,25,9,37221,Pocahontas (1995),Animation|Children's|Musical|Romance
563,48,3,976045224,M,25,4,53703,Pocahontas (1995),Animation|Children's|Musical|Romance
583,48,5,982825815,F,25,0,48067,Pocahontas (1995),Animation|Children's|Musical|Romance
629,48,4,975785133,F,1,10,48154,Pocahontas (1995),Animation|Children's|Musical|Romance
637,48,2,975737778,M,35,12,97132,Pocahontas (1995),Animation|Children's|Musical|Romance
662,48,4,975661876,M,18,4,99163,Pocahontas (1995),Animation|Children's|Musical|Romance
678,48,4,989242270,M,25,0,34952,Pocahontas (1995),Animation|Children's|Musical|Romance
